"","date","name","value","id"
"142",2019-09-30,"bud",1778,"1"
"143",2019-10-31,"bud",1636.5,"1"
"144",2019-11-30,"bud",1354.4,"1"
"145",2019-12-31,"bud",2163.2,"1"
"146",2020-01-31,"bud",1556.5,"1"
"147",2020-02-29,"bud",1262.4,"1"
"148",2020-03-31,"bud",1912.4,"1"
"149",2020-04-30,"bud",2270.7,"1"
"150",2020-05-31,"bud",889,"1"
"151",2020-06-30,"bud",1200.9,"1"
"152",2020-07-31,"bud",1307.8,"1"
"153",2020-08-31,"bud",1288.6,"1"
"154",2020-09-30,"bud",1528.4,"1"
"155",2020-10-31,"bud",1928.7,"1"
"156",2020-11-30,"bud",1383.2,"1"
"157",2020-12-31,"bud",2170.6,"1"
"158",2021-01-31,"bud",1504,"1"
"159",2021-02-28,"bud",1251.6,"1"
"160",2021-03-31,"bud",2544.4,"1"
"161",2021-04-30,"bud",2186.9,"1"
"162",2021-05-31,"bud",1833.4,"1"
"163",2021-06-30,"bud",1945.5,"1"
"164",2021-07-31,"bud",2385.4,"1"
"165",2021-08-31,"bud",2046.6,"1"
"166",2021-09-30,"bud",2226.1,"1"
"167",2021-10-31,"bud",2507.9,"1"
"168",2021-11-30,"bud",2008.3,"1"
"169",2021-12-31,"bud",2846.5,"1"
"170",2022-01-31,"bud",2088.8,"1"
"171",2022-02-28,"bud",2116.7,"1"
"172",2022-03-31,"bud",2957.6,"1"
"173",2022-04-30,"bud",2870.7,"1"
"174",2022-05-31,"bud",2008.9,"1"
"175",2022-06-30,"bud",1974.4,"1"
"176",2022-07-31,"bud",1757.3,"1"
"177",2022-08-31,"bud",1832.2,"1"
"178",2022-09-30,"bud",2132.7,"1"
"179",2022-10-31,"bud",2400.3,"1"
"180",2022-11-30,"bud",2640.3,"1"
"181",2022-12-31,"bud",3044.2,"1"
"182",2023-01-31,"bud",1357.01,"1"
"183",2023-02-28,"bud",1807.23,"1"
"184",2023-03-31,"bud",2514.57,"1"
"185",2023-04-30,"bud",2106.17,"1"
"186",2023-05-31,"bud",2033.62,"1"
"187",2023-06-30,"bud",2562.86,"1"
"188",2023-07-31,"bud",2144.6,"1"
"189",2023-08-31,"bud",2466.07,"1"
"190",2023-09-30,"bud",2742.93,"1"
"191",2023-10-31,"bud",3372.88,"1"
"192",2023-11-30,"bud",2856.68,"1"
"193",2023-12-31,"bud",3178.07,"1"
"194",2007-12-31,"ngz",312.37,"2"
"195",2008-01-31,"ngz",303.36,"2"
"196",2008-02-29,"ngz",371.2,"2"
"197",2008-03-31,"ngz",328.88,"2"
"198",2008-04-30,"ngz",345.37,"2"
"199",2008-05-31,"ngz",368.01,"2"
"200",2008-06-30,"ngz",391.4,"2"
"201",2008-07-31,"ngz",454.6,"2"
"202",2008-08-31,"ngz",432.35,"2"
"203",2008-09-30,"ngz",435.77,"2"
"204",2008-10-31,"ngz",411.78,"2"
"205",2008-11-30,"ngz",303.09,"2"
"206",2008-12-31,"ngz",243.62,"2"
"207",2009-01-31,"ngz",179.11,"2"
"208",2009-02-28,"ngz",164.68,"2"
"209",2009-03-31,"ngz",165.3,"2"
"210",2009-04-30,"ngz",168.7,"2"
"211",2009-05-31,"ngz",175.76,"2"
"212",2009-06-30,"ngz",199.88,"2"
"213",2009-07-31,"ngz",272.37,"2"
"214",2009-08-31,"ngz",309.24,"2"
"215",2009-09-30,"ngz",360.57,"2"
"216",2009-10-31,"ngz",295.45,"2"
"217",2009-11-30,"ngz",305.5,"2"
"218",2009-12-31,"ngz",387.4,"2"
"219",2010-01-31,"ngz",294.55,"2"
"220",2010-02-28,"ngz",300.77,"2"
"221",2010-03-31,"ngz",282.28,"2"
"222",2010-04-30,"ngz",271.85,"2"
"223",2010-05-31,"ngz",319.87,"2"
"224",2010-06-30,"ngz",321.62,"2"
"225",2010-07-31,"ngz",314.99,"2"
"226",2010-08-31,"ngz",315.47,"2"
"227",2010-09-30,"ngz",309.47,"2"
"228",2010-10-31,"ngz",320.52,"2"
"229",2010-11-30,"ngz",349.65,"2"
"230",2010-12-31,"ngz",429.63,"2"
"231",2011-01-31,"ngz",355.6,"2"
"232",2011-02-28,"ngz",336.7,"2"
"233",2011-03-31,"ngz",441.8,"2"
"234",2011-04-30,"ngz",446.5,"2"
"235",2011-05-31,"ngz",486.4,"2"
"236",2011-06-30,"ngz",473.4,"2"
"237",2011-07-31,"ngz",479.4,"2"
"238",2011-08-31,"ngz",489.2,"2"
"239",2011-09-30,"ngz",480.9,"2"
"240",2011-10-31,"ngz",545.4,"2"
"241",2011-11-30,"ngz",523.5,"2"
"242",2011-12-31,"ngz",583,"2"
