rown,date,res,m2,exp,impt,usd,urru,sal,imo,bci,rate,cpi,ibk,epu,cons,news
145,2019-12-31,27941.5184351467,51660.3,2493.6972788,1532.167182,62.9356,4170.742212,62239,3045.87,20823.93,6.5,100.36,0.0694976335355477,323.16767,100.503229169181,0.234380499
146,2020-01-31,27583.1911223066,50622.9,1889.7511104,1055.3396256,61.7808,3606.145296,46674,3076.65,20768.01,6.25,100.4,-19.8772624384252,346.33974,100.49050898829,0.314847379
147,2020-02-29,28784.7215680257,51314.2,1832.1373232,1178.54172,63.8776,3121.059536,47257,2785.08,18615.21,6.25,100.33,-7.848867716152,283.86865,99.9887782334672,-0.005065133
148,2020-03-31,32450.3382758278,52327,2192.24556,1498.509928,73.148,1105.26628,50948,2508.81,16549.31,6,100.55,-22.1484655213522,793.63449,98.7401386503147,-0.013883929
149,2020-04-30,33089.3542603443,52951.7,1878.6925113,1320.2070288,75.2169,1412.573382,49306,2650.56,17472.1,6,100.83,-38.9704161833772,693.56753,97.2523292431754,-1.40009461
150,2020-05-31,31844.8420082259,53068,1523.814446,1250.506642,72.611,2574.78606,50747,2734.83,18141.66,5.5,100.27,-25.2138843258782,680.48135,96.2129628149354,-2.159193958
151,2020-06-30,30324.7185670512,54392.6,1694.7548811,1324.9725597,69.2217,3056.830272,52123,2743.2,18212.13,5.5,100.22,-8.84506291880629,743.92557,96.1429323308133,-2.593329415
152,2020-07-31,31893.8733586747,54687.4,1756.6146475,1407.544245,71.2825,3105.778525,50145,2911.57,19189.96,4.5,100.35,-1.81262969260561,483.3341,96.601374303251,-2.404199366
153,2020-08-31,33196.33116558,55294.2,1717.477581,1472.840526,73.797,3328.2447,47649,2966.2,19598.33,4.25,99.96,-0.979984876927119,223.62048,97.0280795048145,-1.802763871
154,2020-09-30,33612.4256812478,56023.9,2345.5685565,1552.8185838,75.6513,3063.121137,49259,2905.81,18958.2,4.25,99.93,-4.4368350693525,392.8705,97.0574312245348,-1.53896427699999
155,2020-10-31,34463.7482194171,55871.6,2219.5799409,1700.0460057,77.5887,2880.092544,49539,2690.59,17409.38,4.25,100.43,-10.9148507829361,306.67952,96.8640802951234,-0.94392439
156,2020-11-30,34588.2329903181,56122.6,2322.853082,1754.04141,77.033,3614.38836,49274,3107.58,20341.87,4.25,100.71,-14.9723340819441,502.58517,96.7474032588629,-0.89227994
157,2020-12-31,33842.3340706153,58652.1,2677.8105648,1869.3282976,74.0504,3774.348888,69278,3289.02,21651.06,4.25,100.83,-3.92745984530961,437.84007,96.9386631826282,-0.306239578
158,2021-01-31,33690.3916463093,57598.4,1981.79949,1312.3669207,74.2247,4142.480507,49516,3277.08,21375.21,4.25,100.67,-20.6938728121437,503.00574,97.3314965797583,-0.037475351
159,2021-02-28,33914.1901932835,58178.2,2254.9602698,1566.5789228,74.3794,4828.710648,51229,3346.64,21601.18,4.25,100.78,-5.38170026183002,417.90859,97.7733911292772,0.415527554
160,2021-03-31,33337.8769741667,58261.6,2700.6855435,1922.9595399,74.4093,4585.845159,55208,3541.72,22832.06,4.25,100.66,5.48479313150381,375.68241,98.1555899217512,0.805707533
161,2021-04-30,34973.5715856207,59206.3,2791.5257864,2000.6213808,76.0924,4998.509756,56614,3544,22616.62,4.5,100.58,3.61618903969384,282.94073,98.4539345527563,0.722062184
162,2021-05-31,34483.7752419665,59194.1,2582.659002,1809.512438,74.042,5015.60508,56171,3721.63,23838.45,5,100.74,1.10549190729685,348.45905,98.6363089161964,0.922148861
163,2021-06-30,33448.4124333658,59583.9,3141.6396224,1836.2726975,72.5083,5431.596753,58782,3841.85,24642.75,5,100.69,2.95344653334232,420.34396,98.6539371590901,0.816343415999999
164,2021-07-31,34454.9282659272,59379.7,3209.1978384,1942.918859,73.9174,5467.670078,55170,3771.58,24250.51,5.5,100.31,2.32009372585523,224.52738,98.5486519039231,1.392189327
165,2021-08-31,35728.0946610755,59816.9,3186.1310126,1916.7270805,73.5929,5216.264752,52355,3918.96,25107.6,6.5,100.17,3.40115064709204,185.33151,98.3387184771568,1.243501705
166,2021-09-30,35385.7885594533,60606.2,3309.470073,1861.198794,72.891,5529.51126,54687,4103.52,26720.38,6.5,100.6,0.854912285946114,377.25431,98.0275726357977,1.04371663182114
167,2021-10-31,35129.3873766957,60813.7,3361.19638,1921.561976,71.492,5869.4932,54649,4150,27131.09,6.75,101.11,-4.61520459903394,268.34458,97.7172064655671,0.9220681334709
168,2021-11-30,35549.9575010325,62312.5,3564.7906904,2021.9667584,72.5864,5033.140976,55639,3890.59,25453.69,7.5,100.96,-7.8915440525719,204.45301,97.5331241078702,0.318006472314193
169,2021-12-31,36677.9210000661,66252.9,4268.4744256,2268.4747772,73.7164,5661.41952,77994,3787.26,24747.2,7.5,100.82,3.33599714925893,393.8606,97.5485178156371,0.061635876440606203
170,2022-01-31,37778.266491592,65310.3,3556.5494796,1828.044279,75.8682,6982.909128,55717,3530.38,23257.35,8.5,100.99,-18.3161052248933,275.27104,97.5821601966311,0.223207091489282
171,2022-02-28,36806.2397617278,66659.7,3979.3594224,2101.9017924,77.3412,7291.728336,57344,2470.48,16060.83,8.5,101.17,-11.970996373122,702.5749,97.3761055628757,-0.10673817676224
172,2022-03-31,48140.9459332943,68203.5,5828.0014488,1919.9610544,103.6808,8596.175128,66757,2703.51,17577.38,20,107.613064489616,-7.67140167862775,382.16558,96.7551426068557,-0.144439509633056
173,2022-04-30,35173.3104339286,68475.3,3768.4406448,1306.4892399,77.8089,6178.804749,62269,2445.17,15862.15,20,101.511403486082,-9.96351710437494,964.14071,96.0259440924674,-0.265622152419797
174,2022-05-31,29039.5363246147,68993.4,3195.3791562,1216.7055439,64.6393,6336.590579,62457,2355.75,15331.74,17,100.213359964184,-6.85991926138271,470.90146,95.6325545250649,-0.364826854282305
175,2022-06-30,25625.8488620365,69623.2,3084.6096036,1210.4815644,57.1764,5202.480636,66572,2204.85,14087.35,11,99.7781828305266,-1.46272148427107,659.50518,95.9201133798747,-0.702043961537595
176,2022-07-31,25887.6117480894,70825.4,2664.0945038,1257.8736008,58.0843,4809.960883,62200,2213.81,14199.99,9.5,99.7298518272778,-1.22301160872499,575.20752,96.562769383425,-0.834286199496258
177,2022-08-31,26225.6848201474,73333.3,2947.3098106,1418.5565422,60.3487,4715.647418,59907,2400.08,15617.35,8,99.9572008758508,2.41594771571397,462.37836,97.1450494161114,-0.505984661885646
178,2022-09-30,24924.9267987364,75096.8,2789.7564728,1414.669256,59.7916,4209.32864,61879,1957.31,12902.2,8,100.275984972955,-5.9616918523852,683.05893,97.3881302660239,-0.3144209437976
179,2022-10-31,25723.7875670753,75636.5,2666.434316,1536.6233092,60.8636,4567.204544,62470,2166.61,13990.17,7.5,100.137925278636,-7.81277792304871,619.34628,97.4364863536355,-0.391226943937146
180,2022-11-30,26555.4882303426,76873.3,2728.9608921,1601.3751194,60.8749,4050.615846,63060,2174.53,14031.22,7.5,100.25807226625,-7.88596182208417,559.29213,97.5182613532932,-0.794078236658376
181,2022-12-31,29128.1315090548,82388,3559.7341306,1944.6907468,65.3414,3677.413992,88468,2154.12,13791.28,7.5,100.281795485397,1.22230015385773,571.86329,97.8003645770088,-0.817975576643949
182,2023-01-31,31351.8762989772,82221.7,2323.307,1669.602,69.2264,3880.13972,63260,2225.6,14094.58,7.5,100.78,-16.6021681682194,392.54979,98.2101484462037,-0.480049268448537
183,2023-02-28,32020.6236707698,83955.9,2232.849,1645.964,73.0047,4399.993269,65094,2253.16,14238.74,7.5,100.84,-2.04989373303107,264.40991,98.6360429109803,-0.273628107742536
184,2023-03-31,33987.0252126479,84813.4,3115.198,2130.006,76.0825,4450.82625,71334,2450.67,15550.17,7.5,100.46,7.98124305465564,356.25056,99.0005092239136,0.0840832581336721
185,2023-04-30,36149.3370751357,84636,2553.957,2006.155,80.8803,5030.75466,71204,2634.94,16765.83,7.5,100.37,2.48028772670577,650.53232,99.3168831182618,0.00114222133842142
186,2023-05-31,34594.3442535021,86197.3,2949.233,2126.87,78.9367,4231.00712,72851,2717.64,17382.12,7.5,100.38,6.44261226972645,298.45673,99.6145510808248,0.496998797214917
187,2023-06-30,36528.4826653449,87276.8,2865.738,2116.335,83.1468,4778.446596,76639.25,2797.37,17675.05,7.5,100.31,5.63209332178599,628.20382,97.8827278581721,0.641249873820179
188,2023-07-31,40136.427768723,88294,2862.586,2304.717,90.4165,6349.950795,71427.78,3073.5,19361.8,8.5,100.37,4.75969563066988,423.76324,97.8656450335501,0.462942009337296
189,2023-08-31,41613.085313725,90110.9,3538.445,2424.631,95.2629,6775.097448,69427.8,3227.99,20375.13,12,100.63,6.69552513701629,280.3019,97.8485622089282,0.60811180087446
190,2023-09-30,41398.1500956474,90597.3,3893.908,2401.254,96.6494,7927.183788,70885.78,3133.26,19770.45,13,100.28,1.20240286045063,469.60302,97.8314793843062,0.243075136357314
191,2023-10-31,41433.1985252539,91134.7,3322.483,2275.489,97.0068,7353.11544,73792.1,3200.97,20406.85,15,100.87,-0.817472640191454,458.61536,97.8143965596843,0.425871867856003
192,2023-11-30,39885.5654815169,92546.9,3055.611,2203.967,90.5715,5850.9189,73349.35,3165.79,20215.07,15,100.83,-3.62462776077894,474.23421,97.7973137350623,0.848449821584231
193,2023-12-31,40164.4868974048,98385.4,3507.496,2528.381,90.7596,5418.34812,10379.3,3099.11,19746.46,16,101.11,3.56631166642919,568.76222,97.7802309104404,0.460260068853364
